approval_no,plant_name,company,address,town_region,country,scope,expiry_date
1319,RUPSHA FISH PRIVATE LIMITED,RUPSHA FISH PRIVATE LIMITED,"RUIYA, P.O.: PATULIA, P.S.: KHARDAH, DIST: 24 PARGANAS(N), KOLKATA, WEST BENGAL-700119",KOLKATA,India,"FREEZING OF RAW/BLANCHED/COOKED FISH & FISHERY PRODUCTS (BLOCK FROZEN, IF & IQF)",06/04/2028
1325,Chilikarani Fish Trading Pvt. Ltd.,Chilikarani Fish Trading Pvt. Ltd.,"Atharanala patna, Gopinathpur, Puri-752002,",Gopinathpur,India,Freezing of Raw Fish & Fishery Products(Block ) - Crustaceans .,17/04/2026
1326,TRADE IMPEX,TRADE IMPEX,"Vill & PO - Newsha, PS - Diamond Harbour, South 24 Parganas, West Bengal- 743368",South 24 Parganas,India,"Packing of Fresh/ Chilled Fish & Fishery Products - Fishes(Non-histamine forming), Shrimps(Sea caught/Wild caught) & Cephalopods",13/07/2027
1327,Falcon Marine Exports Ltd.,Falcon Marine Exports Ltd.,"NH5, Khantapada, Kasbajaypur, Dist- Balasore, Odisha, Pin-756043",Odisha,India,"Freezing of Raw Fish & Fishery Products-(Block/IQF), Freezing of Blanched/ Cooked  Fish & Fishery Products(IQF)- Crustaceans only.",29/07/2027
1328,MEGAA MODA PVT. LTD.,MEGAA MODA PVT. LTD.,"Sri Ram Hanuman Gate, Ranihati, Amta Road, Village-Islampur, PO-Nayachak, PS-Jagatballavpur, Howrah- 711322, West Bengal",Howrah- 711322,India,"Freezing of Raw Fish & Fishery Products(Block/IF/IQF), Freezing of Blanched Fish & FIshery Products(IQF)-Fishes(Histamine & Non-Histamine forming), Shrimps(Aquaculture/Sea caught/Wild caught) & Cephalapods",06/08/2027
1330,Hari Marine Pvt. Ltd.,Hari Marine Pvt. Ltd.,"At-Biruan, P.O.Seragarh, Dist-Balasore-756060,Odisha, India",Odisha,India,Freezing of Raw Fish & Fishery Products(Block/IQF) Crustaceans,14/08/2027
1335,Royal Enterprise,Royal Enterprise,"44, Hasanpur Road, P.O. Joynagar Mojilpur, P.S. Joynagar, Dist.: South 24 Parganas, West Bengal-743337, India",West Bengal-743337,India,Packing of Fresh / Chilled Fish & Fishery Products,11/11/2027
1340,MATARA AQUACULTURE WEST BENGAL PRIVATE LIMITED,MATARA AQUACULTURE WEST BENGAL PRIVATE LIMITED,"VILL-GIRIRCHAK,PO-NARGHAT,PS-NANDAKUMAR,PURBA MEDINIPUR,PIN -721669,WEST BENGAL, INDIA",WEST BENGAL,India,"Freezing of Raw Frozen Fish & Fishery Products (Block, IF & IQF",21/05/2028
1342,B-ONE BUSINESS HOUSE PVT. LTD,B-ONE BUSINESS HOUSE PVT. LTD,"PLOT NO-27, SEA FOOD PARK,
AT-HARIDAMADA,BHUBANESWAR,
DIST-KHORDA-752054,ODISHA,INDIA",ODISHA,India,Freezing of Raw Fish & Fishery Products(Block/IF/IQF) Crustaceans,22/08/2028
1350,B-ONE BUSINESS HOUSE PVT. LTD,B-ONE BUSINESS HOUSE PVT. LTD,"PLOT NO-3891/ 6236  , SRIKONCHANDIPUR   , 
BALASORE -756025 , ODISHA ,INDIA",ODISHA,India,Freezing of Raw Fish & Fishery Products(Block/IQF) Crustaceans,14/04/2026
1357,SREERAGAM EXPORTS PRIVATE LIMITED,SREERAGAM EXPORTS PRIVATE LIMITED,"BENT,CHAMPAGARH,CHANDPUR,DIST-NAYAGARH,ODISHA, PIN-752024,INDIA",PIN-752024,India,"Freezing of raw Fish and Fishery Products (Block/IF/IQF)-Crustaceans,Cephalopods, Scrombroid & non-scrombroid Fishes",29/07/2027
1359,BASU INTERNATIONAL (UNIT V),BASU INTERNATIONAL (UNIT V),"JAGAIBASAN, P.O- DIGHA, DIST- PURBA MEDINIPUR, PIN-721428, WEST BENGAL",PIN-721428,India,Packing of Fresh / Chilled Fish & Fishery Products & Freezing of Raw Fish & Fishery Products (Block Frozen / IF/ IQF) PPa,06/01/2028
1362,Aqua Fauna Exports,Aqua Fauna Exports,"Ward no. 5, 1112/1, Talikhola, Barasat, Barrackpore Road,West Bengal-700126",Barrackpore Road,India,Packing of Fresh/Chilled Fish & Fishery Product,15/02/2026
1363,NDM SEAFOOD PROCESSORS AND EXPORTERS PRIVATE LIMITED,NDM SEAFOOD PROCESSORS AND EXPORTERS PRIVATE LIMITED,"Hosennabad Village, Mogra, Hooghly - 712148, West Bengal",Hooghly - 712148,India,"Freezing of Raw Fish & Fishery Products (Block/IQF), Freezing of Blanched/Cooked Fish and Fishery Products(IQF) -Fishes (Histamine & Non- Histamine forming), Shrimps (Aquaculture/Sea caught/Wild caught)",11/07/2027
1365,Highland Agro Food Private Limited,Highland Agro Food Private Limited,"PLOT-NO.347-358,GADABHANGA,KHANTAPADA,BALASORE-756043,ODISHA",BALASORE-756043,India,PACKING OF FRESH & CHILLED FISHERY PRODUCTS.,14/08/2027
1366,"Orchid Marine Export pvt. Ltd,","Orchid Marine Export pvt. Ltd,","KHALADIHA,NO.1,BADASIMULIA,BALIAPAL,BALASORE-756026,ODISHA",BALASORE-756026,India,Freezing of Raw Fish & Fishery Products(Block & IQF) Crustaceans only,26/09/2027
1367,Pasupati Aquatics Private Limited,Pasupati Aquatics Private Limited,"Haria, Atmaramchak, J.L. No. 131, P.O., Haria, P.S., Khejuri, Dist.-Purba Medinipur, West Bengal, Pin-721430, India",Pin-721430,India,"Freezing of Raw Frozen Fish & Fishery Products Ã?Â¢?? Block / IQF), Freezing of Blanched / Cooked Fish & Fishery Products Ã?Â¢?? (IQF)",15/12/2027
1370,Bhimraj Export,Bhimraj Export,"BADAPOKHARIA,PO-NILAGIRI-PATANA,PS-NIRAKARPUR,KHURDA,ODISHA-752019",KHURDA,India,"Freezing of raw Fish and Fishery Products (Block/IF/IQF)-Crustaceans,Cephalopods, Scrombroid & non-scrombroid Fin Fishes",14/03/2028
1371,AQUATECH FEED & SEAFOODS PRIVATE LIMITED,AQUATECH FEED & SEAFOODS PRIVATE LIMITED,"HANUMAN COMPLEX, VILLAGE-ISLAMPUR, P.O-ISLAMPUR,DIST.-HOWRAH, WEST BENGAL-711401.",DIST.-HOWRAH,India,"Freezing of Raw Fish & Fishery Products(Block, IF & IQF(Cooking/Blanching) )",05/04/2028
1373,SHNAKHA DEEP EXPORTS PRIVATE LIMITED(UNIT_II),SHNAKHA DEEP EXPORTS PRIVATE LIMITED(UNIT_II),"CHONDIGORI, BADU, NORTH 24 PARGANAS, KOLKATA-700128, WEST BENGAL",KOLKATA-700128,India,"FREEZENG OF RAW / COOKED FISH & FISHERY PRODUCTS (BLOCK, IF & IQF)",18/05/2028
1378,Ashadeep Aquaculture Pvt. Ltd,Ashadeep Aquaculture Pvt. Ltd,"Plot No. -768, 751, 764 / 842, 443, 766, 767, 448, 441, Tinipada, Jugal Kishorepur, Mankhani, PS:Khantapada, Dist: Balasore, Odisha, Pin-756043",Odisha,India,"Freezing of Raw Fish & Fishery Products (Block/Blast)-Crustaceans, Cephalopods Scrombroid & Non-Scrombroid Fin Fishes",04/04/2026
1381,Snow World Marine Exports Private Limited,Snow World Marine Exports Private Limited,"BAHAL, REMUNA, BALASORE,
ODISHA -756060, INDIA",ODISHA -756060,India,All countries excluding uncooked prawns to Australia,28/08/2026
1382,BRC MARINE PRODUCTS,BRC MARINE PRODUCTS,"Plot No. 288/1123, 288/1124, Narasingh prasad, P.O: Dosinga, Via- Dhamara, Dist: Bhadrak, Odisha, PIN: 756171 
Call: 9678071393
Email: brc.marine@outlook.com",Odisha,India,"No Change in scope but country need to be corrected as ""All countries other than uncooked prawns to Australia"".",02/11/2026
1383,GADRE MARINE EXPORT PRIVATE LIMITED,GADRE MARINE EXPORT PRIVATE LIMITED,"Surimi Unit, Salt Road, Tundara, PO Inchudi, Remuna Block, Balasore 756021, Odisha.",Balasore 756021,India,Raw Frozen F & FP (Block frozen),31/12/2026
1385,ABBA KABA OVERSEAS PRIVATE LIMITED,ABBA KABA OVERSEAS PRIVATE LIMITED,"At- Mulijhara, Po- Kusumi, P.S- Tangi, Dist-Khurdha, State- Odisha, Pin- 752021",State- Odisha,India,Raw Frozen Fish and Fishery Products (Block & IQF),20/03/2027
1387,SEA DORIS MARINE EXPORTS,SEA DORIS MARINE EXPORTS,"Dag No.-756,J.L. No.-96,
Mouza-Chandipur,
P.O.-B. Gobindapur,
P.S.-Bhangar, Dist.-South 24 Parganas, West Bengal,
PIN-743502, India",PIN-743502,India,"a) To process F & FP for export to all countries
     excluding CU & uncooked prawns to Australia.",20/03/2027
146,Rahul Foods (Goa),Rahul Foods (Goa),"Next to Government Fish Farm, Dauji, Ela, Old-Goa, Goa-403402, India",Goa-403402,India,Frozen (Block/IF-Blast) Raw Fish and Fishery Products (Excluding Aquaculture),12/02/2026
1501,A M FISHERIES,A M FISHERIES,"XIII/378,Kakkazhom Vandanam P.O.,Ambalapuzha Alappuzha-688005, Kerala",Ambalapuzha Alappuzha-688005,India,Packing of Fresh/Chilled F & FP Freezing of Raw/ Blanched F & FP (Block /Blast/IQF): Fishes (Histamine and Non-Histamine) Shrimps  (Sea caught /Aquaculture)  & Cephalopods. IQF of cooked Shrimps (Sea caught & Aquaculture).,12/12/2027
1503,FEBIN MARINE FOODS,FEBIN MARINE FOODS,"ERAMALLOOR , ALAPPUZHA-688537,KERALA,INDIA.",KERALA,India,"Freezing of Raw/Blanched /Cooked/Frozen Breaded Fish & Fishery products IQF, Freezing of  Raw Marinated Shrimps ,Frozen Cooked & Peeled Shrimps , Frozen Crab meat- Fishes (Histamine & Non Histamine forming), Crustaceans- Shrimps (Aquaculture /Sea Caught/Wide Caught), Crabs (Sea Caught/Wide Caught) & Cephalopods.",23/01/2028
1504,GRAND MARINE FOODS,GRAND MARINE FOODS,"11/750A, Industrial Development Area, Aroor P.O., Pin-688534, Alappuzha District, Kerala",Alappuzha District,India,"Packing of Fresh Chilled Fish & Fishery Products and Freezing of Raw Blanched Fish & Fishery Products (Block/Blast/IF/IQF), Freezing of Blanched Fish & Fishery Products (IQF) â?? Fishes (Histamine & Non- Histamine forming), Crustaceans-Shrimps (Aquaculture/Sea caught), Lobsters & Cephalopods, Freezing of (cooked Shrimps & Cephalopods)",26/03/2028
1511,Mukka Proteins Limited,Mukka Proteins Limited,"D.NO.14-161 to 164, Sasihithlu road, Mukka,Mangalore-575021,Karnataka.",Mangalore-575021,India,"Processing of Steam Dried Fish Meal, Fish Oil and Fish Soluble Paste (Not fit for Human Consumption)",17/04/2028
1512,Janatha Fish Meal & Oil Products,Janatha Fish Meal & Oil Products,"Manoor Fisheries Road,Kota-576221, UdupiDist,Karnataka",UdupiDist,India,"Processing & Packing of Steam Dried Fish Meal, Fish oil, Fish Soluble & Fish Soluble Powder (Not fit for Human Consumption)",25/06/2028
1517,Bawa FishMeal & Oil Co,Bawa FishMeal & Oil Co,"D. No. 15-3 & 15-4, Sasihithlu Road, Mukka, Surathkal,Mangalore-575021,Karnataka",Mangalore-575021,India,"Processing and Packing of Steam Dried Fish Meal, Fish Soluble Paste and Fish Oil (Not Fit for Human Consumption)",13/02/2026
1521,M/s Seafood Innovations,M/s Seafood Innovations,"Kodamthuruthu, Kuthiathode P.O., Cherthala, Alappuzha Dist., 688538, Kerala",688538,India,"Freezing of Raw Fish & Fishery Products (Block/Blast/IF/IQF), Freezing of Blanched & Cooked Fishery Products (IQF) Shrimps (Sea-caught & Aquaculture) & Cephalopods and Histamine & Non-Histamine forming fishes",08/07/2027
1523,DOLPHIN WIRES PRIVATE LIMITED,DOLPHIN WIRES PRIVATE LIMITED,"AP II/722, INDUSTRIAL ESTATEAROOR, ALAPPUZHA-688534KERALA, INDIA",ALAPPUZHA-688534KERALA,India,Freezing of Raw  Fish & Fishery Products(Block/IF) Fishes(Histamine & Non Histamine forming) Shrimps - (Sea Caught/Wild Caught/Aquaculture) & Cephalopods,08/10/2027
1524,Arbee Biomarine Extracts Private Limited,Arbee Biomarine Extracts Private Limited,"Plot No.13/P2, Thandya Industrial Area, Nanjangudi Dist., Mysore-570302, Karnataka",Mysore-570302,India,"Processing and packing of Fish Oil-Ester, Purified Fish Oil-Ester (Enzymatic), Semi-Refined Fish Oil - Fit for Human Consumption)",03/11/2027
1525,International Freezfish Exports (Unit 1),International Freezfish Exports (Unit 1),"A P II/ 810, Industrial Estate, Aroor- 688534, Alleppey Dist. Kerala",Aroor- 688534,India,"Freezing of Raw Fish& fishery products((Block/IF/IQF),Fishes Histamine and Non-Histamine Forming) ,Shrimps(Seacaught & Aquaculture)&Cephalopodes Category-PPa",04/03/2028
1526,United Marine Products,United Marine Products,"Door No.1-1/20, Sea Road, Kotepura, Mangalore, Ullal-575020,",Mangalore,India,"Processing and Packing of Steam Dried Fish Meal, Fish Oil & Fish Soluble Paste (Not fit for Human Consumption).",10/03/2028
1539,Foodco Delicacies India (P) Ltd.,Foodco Delicacies India (P) Ltd.,"XI/46R, Trichattukulam P.O, Cherthala, Alappuzha-688526,Kerala",Alappuzha-688526,India,"Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products(Block/Blast/IF),
 Fishes(Histamine & Non-Histamine forming) Shrimps(Sea-Caught and Aqaculture) & Cephalapods",19/04/2026
1543,ARBEE AQUATIC PROTEINS PVT. LTD.,ARBEE AQUATIC PROTEINS PVT. LTD.,"AP-II/723, Aroor Industrial Area, Aroor-688534, Alleppey Dist., Kerala",Alleppey Dist.,India,Processing and Packing of Steam Dried Fish Meal and Fish oil (Not fit for Human Consumption),01/09/2027
1544,BATHSHA MARINE EXPORTS PVT LTD,BATHSHA MARINE EXPORTS PVT LTD,"BUILDING NO.II/732, INDUSTRIAL ESTATE, AROOR,ALAPPUZHA, KERALA-688534  INDIA",ALAPPUZHA,India,"PACKING OF FRESH/ CHILLED FISH & FISHERY PRODUCTS, RAW FROZEN FISH & FISHERY PRODUCTS ( BLOCK/ BLAST FROZEN, INDIVIDUALY FROZEN) - FISHES (HISTAMINE & NON-HISTAMINE FORMING), SHRIMPS (SEA-CAUGHT/ WILD CAUGHT & AQUACULTURE) & CEPHALOPODS",28/09/2027
1546,Ullal Fish Meal & Oil Company,Ullal Fish Meal & Oil Company,"D.No.1-19/ISeaRoad,Kotepura,Ullal, Mangalore-575020",Ullal,India,ProcessingSteamDriedFishMeal&FishOil(NotfitforHumanConsumption),25/11/2027
1549,EMINENT SEAFOODS PVT LTD,EMINENT SEAFOODS PVT LTD,"16/1127A, PLOT NO.9, COCHIN FISHERIES HARBOUR , THOPPUMPADY ,COCHIN -682005",THOPPUMPADY,India,"Packing of Raw Fish  & fishery products(Block /Blast, Individually Frozen ) Shrimps ( Sea Caught & Aquaculture ) & Cephalopods /Histamine & Non -Histamine Forming  Fishes( SeaCaught)",17/04/2028
1556,AUTHENTIC OCEAN TREASURE,AUTHENTIC OCEAN TREASURE,"Plot No. 1P-63A, M.S.E.Z., Mangalore Karnataka, Pin- 574142",Mangalore Karnataka,India,Manufacturing of Frozen Surimi (Block),31/07/2027
1557,Malpefresh Marine Export Private Limited,Malpefresh Marine Export Private Limited,"D.NO. D-II, 19A-5, Devalkunda, Vishnumurthy Temple Rd, Kundapur Taluk, Udupi, Karnataka-576230",Udupi,India,nan,23/07/2027
1559,BarakaOverseasTraders,BarakaOverseasTraders,"P.B.No.1204,BeachRoad,UllalDakshina, Kannada, Mangalore, Karnataka-575020.",Mangalore,India,"Freezing of Raw Fish & Fishery Products Shrimps (Sea Caught), Cephalopods , Fishes (Histamine & Non- Histamine Forming) Block & Individual Freezing for exports to all countries excluding European Union (EU), Customs Union (CU) and Uncooked prawn to Australia.",01/10/2027
1561,AL BADR SEAFOODS PVT. LTD. (UNIT-II),AL BADR SEAFOODS PVT. LTD. (UNIT-II),"PLOT NO. 33 B, CSEZ,KAKKANAD, COCHIN-682037, KERALA",COCHIN-682037,India,"Freezing of Raw Fish & Fishery Products,Frozen Pre-Cooked Tuna Loins(Blast/IF),Shrimps(Sea-Caught),Cephalopods, Fishes (Histamine and Non-Histamine Forming) for  all  counties  excluding  EU and  Russia",13/01/2028
1563,"Raj Fishmeal and Oil Company – Unit-II,","Raj Fishmeal and Oil Company – Unit-II,","D.No 1-23B, 3rdCross Malpe, Madhwaraj Road Malpe, Udupi District, Karnataka -576108.",Udupi District,India,Processing of Steam Dried Fish Meal and Fish Oil (Not fit for Human Consumption),04/06/2028
1580,QFROZ TRADES  PRIVATE LIMITED,QFROZ TRADES  PRIVATE LIMITED,"XXII/623,(AP II/857A),
INDUSTRIAL AREA ,AROOR,
ALAPPUZHA -688534,
KERALA,INDIA",KERALA,India,"Packing of Fresh/ Chilled fish 
and fishery products, Freezing of Raw Fish and Fishery products (Block/IF/Blast), Fishes- (Histamine and Non-Histamine forming), Shrimps (Sea caught/ Aquaculture) & Cephalopods.",06/03/2026
1581,NAS FISHERIES PRIVATE LIMITED,NAS FISHERIES PRIVATE LIMITED,"16/1712, Old No.22/1173-A  NH.47,EDAKOCHI,KOCHI-682010,KERALA,INDIA",KERALA,India,"Freezing of Raw / Blanched Fish & Fishery Products (Block/ Blast-IF/ IQF), Freezing of Cooked Shrimps & Squid Rings (IQF), Fishes (Histamine and Non -Histamine Forming), Shrimps (Sea caught / Aquaculture), Cephalopods, Crabs and Lobsters.",06/03/2026
1583,Yashaswi Fish Meal and Oil Company- Branch 1,Yashaswi Fish Meal and Oil Company- Branch 1,"Plot No IP-25A, Mangalore SEZ Permude Village, Mangalore Dakshina Kannada Karnataka-574509",Mangalore SEZ Permude Village,India,Manufacturing of Frozen Surimi (Fish Paste) - Block Frozen,07/07/2027
1584,SHREE ULKA LLP,SHREE ULKA LLP,"IP-48 A & B, MSEZ Mangalore Dakshina Kannad, Karnataka-574509",MSEZ Mangalore Dakshina Kannad,India,"Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Block Frozen), Freezing of Raw/ Blanched Fish & Fishery Products (IQF), Freezing of Cooked Sea caught Shrimps and Squid Rings (IQF) & Manufacturing of Frozen Surimi (Fish Paste)- Fishes (Histamine & Non-Histamine Forming), Crustaceans -Shrimps(Aquaculture/Sea caught/Wild caught) & Lobsters(Sea caught/Wild caught) & Cephalopods",08/07/2027
1585,Sterling Foods Unit-2,Sterling Foods Unit-2,"Door No:2-157-1-A&B, Sasihithlu,Dakshina Kannada, Mangalore,Karnataka-574146",Mangalore,India,"Freezing of Raw Fish & Fishery Products -Block Frozen 
Shrimps( Sea caught/Wild caught and Aquaculture), Fishes(Histamine and Non- histamine forming) & Cephalopods",18/06/2027
1587,Mangalore Fish Meal & Oil Company,Mangalore Fish Meal & Oil Company,"Door No. 1-1-22 & 22 (1), Sea Road,Kotepura,Ullal,Mangalore-575020, Karnataka.",Mangalore-575020,India,"Processing of Steam Dried Fish Meal, Fish Oil and Fish Soluble Paste (Not Fit for Human Consumption)",22/02/2028
1590,Span Aquatic Products,Span Aquatic Products,"Door No. 1-15/1 and 1-15/2, Kotepura,Ullal, Mangalore Taluk,Karnataka- 575020",Mangalore Taluk,India,"Processing of Steam Dried Fish Meal, Fish Oil and Fish Soluble Paste (Not Fit for Human Consumption)",12/05/2028
1594,YASHASWI FISH MEAL AND FISH OIL COMPANY BRANCH: 3,YASHASWI FISH MEAL AND FISH OIL COMPANY BRANCH: 3,"D No 16-150 20, S.No.433/1, Plot No.20,  Shivalli Industrial Area, Manipal, Udupi, Karnataka-576104",Udupi,India,Storing of Steam Dried Fish Meal of approved units - Unfit for Human Consumption,09/09/2026
1597,ARABIAN MARINE EXPORTS,ARABIAN MARINE EXPORTS,"Marine Export Unit, Door No-146, Survey No. 1681-D Tadri, Kumta, Uttar Kannad Karnataka - 581326",Kumta,India,"Freezing of Raw Fish & Fishery products (IF), Sea Caught/ Wild Caught)- Fishes (Histamine & Non-Histamine forming) Cephalopods and Crustaceans (Shrimps)",26/05/2027
1599,ASIAN MARINE FOODS,ASIAN MARINE FOODS,"VI/1330(Old No:VII 464)KOCHANGADIKOCHI- 682 002, KERALA, INDIA",KERALA,India,"Freezing of Raw Frozen Fish & Fishery Products(IF & Block) - Fish ( Histamine & Non Histamine Forming) Shrimps( Sea Caught/Wild caught & Aquaculture) and Cephalopods
Category - PPa , Product - U, Activity - F",08/08/2027
1600,Byrd Foods International LLP,Byrd Foods International LLP,"Hall No.02&03,SDF building,KSIDC Mega Food Park,KSIDC IGC,Pallipuram P O.,Cherthala,Alappuzha,Kerala,India Pin-688541",Kerala,India,"Processing and Packing of Chilled Pasteurized Crab MeatRetort Canned Fish & Fishery Products in Hermetically sealed Metal cans, Plastic cans and Multilayer pouches.",03/01/2028
1601,"ACCELERATED FREEZE DRYING  COMPANY LIMITED,(UNIT-2)","ACCELERATED FREEZE DRYING  COMPANY LIMITED,(UNIT-2)","FROZEN FOODS PLANT,14/418,THURAVOOR-KUMBALANGI ROAD,EZHUPUNNA ,CHERTHALA, ALAPPUZHA-688537",CHERTHALA,India,"Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (IQF/IF/Block), Freezing of Blanched/ Cooked Fish & Fishery Products (IQF) - Fishes (Histamine & Non-Histamine forming), Shrimps (Aquaculture/ Sea-Caught/ Wild caught) & Cephalopods, Freezing of Breaded and marinated Shrimps, Squid and Fishes (Non-Histamine forming)-IQF/IF",25/01/2028
1602,EVERGREEN EXPORTS,EVERGREEN EXPORTS,"BEHIND PORT TRUST HOSPITAL,WILLINGDON ISLAND,KOCHI - Pin â?? 682003",WILLINGDON ISLAND,India,"Freezing of Raw Fish & Fishery Products (IQF, IF & Block) Shrimps ( Sea Caught & Aquaculture ) & Cephalopods /Histamine & Non -Histamine  Forming  Fishes ( Sea Caught)",29/03/2028
1609,OCEAN PROTEINS PRIVATE LIMITED,OCEAN PROTEINS PRIVATE LIMITED,"PLOT NO.281 AND 282,BAIKAMPADY INDUSTRIAL AREA, MANGALORE, DAKSHIN KANNAD, KARNATAKA-575011",DAKSHIN KANNAD,India,"Freezing of Raw FFP (Block/Blast/IQF), Crustaceans (Shrimps-Sea caught & Aquaculture & Crab-Sea caught), Cephalopods, Fishes (Histamine & Non histamine forming), Processing & Freezing of Surimi (Block",20/06/2026
1610,GHAN MARINE EXIM,GHAN MARINE EXIM,"PLOT NO.17/C, KSIDC FOOD PARK, PALLIPPURAM, CHERTHALA, ALAPPUZHA-688541",CHERTHALA,India,"FREEZING & PACKING OF RAW FROZEN FISH & FISHERY PRODUCTS (BLOCK FROZEN AND IF) FISHES (HISTAMINE AND NON-HISTAMINE FORMING), CEPHALOPODS, SHRIMPS (SEA CAUGHT, WILD CAUGHT & AQUACULTURE)",07/08/2026
1611,Karthik Marine Industries,Karthik Marine Industries,"S NO 187/7,PITHRODY,
UDYAVARA,UDUPI, KARNATAKA, 574118",KARNATAKA,India,Manufacturing & Export of Frozen Surimi (Fish Paste) from Non-Histamine & Histamine Forming Fishes,07/11/2026
1612,GOLDMARINE EXPORTS PVT.LTD,GOLDMARINE EXPORTS PVT.LTD,"SNDP JUNCTION
THURAVOOR P.O, KUTHIYATHODE
ALAPPUZHA DIST.688532
KERALA","SNDP JUNCTION
THURAVOOR P.O",India,Processing of Chilled Fish & Fishery Products,19/10/2026
1613,"FRONTLINE EXPORTS PVT.LTD.,UNIT-2","FRONTLINE EXPORTS PVT.LTD.,UNIT-2","INDUSTRIAL ESTATE , AROOR, ALAPPUZHA , KERALA -688 534",ALAPPUZHA,India,"Packing of Fresh/Chilled Fish and fishery products, Crustaceans (sea caught and aquaculture) & Cephalopodes) Freezing of Raw, Blanched and Cooked Fish & fishery products.",31/12/2026
1614,AVANTNATURE FOODS PRIVATE LIMITED,AVANTNATURE FOODS PRIVATE LIMITED,"VASANTHANARASAPURA INDUSTRIAL AREA, INDIA  FOOD PARK PHASE 3 KORA HOBLI  TUMKUR, TUMAKURU, KARNATAKA, 572138",KARNATAKA,India,Freeze dried Shrimps,02/08/2027
1800,APEX FROZEN FOODS LIMITED,APEX FROZEN FOODS LIMITED,"3-160,Panasapadu,Kakinada-533005,Andhra Pradesh",Kakinada-533005,India,Freezing of Raw Fish &Fishery Products            (Block & IQF),27/08/2028
1819,SURYAMITRA EXIM PVT. LTD.,SURYAMITRA EXIM PVT. LTD.,"R.S No. 130, Yanamadurru Village, Bhimavaram Mandal, West Godavari District-534239, Andhra Pradesh",West Godavari District-534239,India,"Packing of Fresh/Chilled Fish and Fishery Products, Freezing of Raw Fish & Fishery Products (IQF/Block), Blanched/Cooked Frozen Fishery Products(IQF) - Aquaculture Shrimps only",28/08/2027
182,"Castlerock Fisheries Pvt. Ltd.,","Castlerock Fisheries Pvt. Ltd.,","Plot No. 101, G.I.D.C.
Estate, Veraval-362269, Gujarat, India",Gujarat,India,"FREEZING OF RAW/BLANCHED/COOKED FISH & FISHERY PRODUCTS (BLOCK,BLAST FROZEN (IF/IQF)",19/02/2028
1829,"Britto Seafoods Exports PVT.,LTD.","Britto Seafoods Exports PVT.,LTD.","NO. 4/1 Balakrishnan street, Tondiarpet, Chennai - 600 081",Tondiarpet,India,Packing of Fresh/Chillled Fish & Fishery Products,05/03/2028
1836,MUNNANGI SEA FOODS PVT. LTD.,MUNNANGI SEA FOODS PVT. LTD.,"Sy. No. 475, Jarugumalli (Post & Mandal), Prakasam District-523276, Andhra Pradesh",Prakasam District-523276,India,"Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Block & IQF) and Freezing of Blanched/Cooked Fish & Fishery Products (IQF)- Shrimps (Aquaculture)",16/09/2027
1839,CRYSTAL SEA FOODS PRIVATE  LIMITED,CRYSTAL SEA FOODS PRIVATE  LIMITED,"Sy.No : 233/3B, 234/2, 261/3A,  Challareddy palem (P), Nayuni Palli(Rev V), Near Potti Subbaiah Palem (V), Vetapalem(M), Prakasam (D), Andhra Pradesh-523187",Prakasam (D),India,Freezing of Raw  Fish & Fishery Products              (IQF/BLOCK) (Aquaculture Shrimps only),25/02/2026
1840,BABY MARINE (EASTERN) EXPORTS (UNIT II),BABY MARINE (EASTERN) EXPORTS (UNIT II),"DOOR NO. 341, SURVEY NO. 85/2A1, 85/2AC1, MANDAPAM, RAMANATHAPURAM DISTRICT-623518, TAMILNADU, INDIA.",TAMILNADU,India,Freezing of Raw Fish & Fishery Products (IF/IQF) and Brine Freezing of Shrimps,05/04/2026
1841,SMSEA MARINES PRIVATE LIMITED,SMSEA MARINES PRIVATE LIMITED,"SURVEY # 63 PART, DUKKAVANIPALEM VILLAGE, GAMBHEERAM PANCHAYAT, ANANDAPURAM MANDAL,VISAKHAPATNAM-531163, ANDHRA PRADESH",VISAKHAPATNAM-531163,India,PACKING OF FRESH/CHILLED FISH & FISHERY PRODUCTS AND FREEZING OF RAW FISH AND FISHERY PRODUCTS,05/04/2026
1842,KIEFER SEA FOODS,KIEFER SEA FOODS,"1/36/4, Main Road, Vagaikulam, Mudivaithanendal, Tuticorin-628102, Tamil Nadu",Tuticorin-628102,India,"Processing & Packing of Chilled/Frozen Fish & Fishery Products - Fishes (Histamine & Non- Histamine forming), Crustaceans- Shrimps (Sea caught/Wild caught), Crabs & Lobster (Sea caught/Wild caught) & Cephalopods for export to all countries excluding CU & uncooked prawns to Australia. Freezing of Depurated Gastropods/ Molluscs  (Sea caught/Wild caught) for export to Non EU countries excluding CU",06/05/2027
1844,ABAD OVERSEAS PVT.LTD.,ABAD OVERSEAS PVT.LTD.,"SY.No.157/1, Amudalapalli Village, Nizampatnam (Mandal), Guntur District, Andhra Pradesh-522314, India.",Andhra Pradesh-522314,India,Freezing of Raw Fish and Fishery Products (IQF Brine Frozen/Block Frozen/IF Blast Frozen),09/06/2027
